Micah 6:3	O my people, what have I done unto thee? and wherein have I wearied thee? testify against me.
Micah 6:4	For I brought thee up out of the land of Egypt, and redeemed thee out of the house of servants; and I sent before thee Moses, Aaron, and Miriam.
Micah 6:5	O my people, remember now what Balak king of Moab consulted, and what Balaam the son of Beor answered him from Shittim unto Gilgal; that ye may know the righteousness of the LORD.
Micah 6:6	Wherewith shall I come before the LORD, and bow myself before the high God? shall I come before him with burnt offerings, with calves of a year old?
Micah 6:7	Will the LORD be pleased with thousands of rams, or with ten thousands of rivers of oil? shall I give my firstborn for my transgression, the fruit of my body for the sin of my soul?
Micah 6:8	He hath shewed thee, O man, what is good; and what doth the LORD require of thee, but to do justly, and to love mercy, and to walk humbly with thy God?
Micah 6:9	The LORD's voice crieth unto the city, and the man of wisdom shall see thy name: hear ye the rod, and who hath appointed it.
Micah 6:10	Are there yet the treasures of wickedness in the house of the wicked, and the scant measure that is abominable?
Micah 6:11	Shall I count them pure with the wicked balances, and with the bag of deceitful weights?
Micah 6:12	For the rich men thereof are full of violence, and the inhabitants thereof have spoken lies, and their tongue is deceitful in their mouth.
Micah 6:13	Therefore also will I make thee sick in smiting thee, in making thee desolate because of thy sins.
Micah 6:14	Thou shalt eat, but not be satisfied; and thy casting down shall be in the midst of thee; and thou shalt take hold, but shalt not deliver; and that which thou deliverest will I give up to the sword.
Micah 6:15	Thou shalt sow, but thou shalt not reap; thou shalt tread the olives, but thou shalt not anoint thee with oil; and sweet wine, but shalt not drink wine.
Micah 6:16	For the statutes of Omri are kept, and all the works of the house of Ahab, and ye walk in their counsels; that I should make thee a desolation, and the inhabitants thereof an hissing: therefore ye shall bear the reproach of my people.
Micah 7:1	Woe is me! for I am as when they have gathered the summer fruits, as the grapegleanings of the vintage: there is no cluster to eat: my soul desired the firstripe fruit.
Micah 7:2	The good man is perished out of the earth: and there is none upright among men: they all lie in wait for blood; they hunt every man his brother with a net.
Micah 7:3	That they may do evil with both hands earnestly, the prince asketh, and the judge asketh for a reward; and the great man, he uttereth his mischievous desire: so they wrap it up.
Micah 7:4	The best of them is as a brier: the most upright is sharper than a thorn hedge: the day of thy watchmen and thy visitation cometh; now shall be their perplexity.
Micah 7:5	Trust ye not in a friend, put ye not confidence in a guide: keep the doors of thy mouth from her that lieth in thy bosom.
Micah 7:6	For the son dishonoureth the father, the daughter riseth up against her mother, the daughter in law against her mother in law; a man's enemies are the men of his own house.
Micah 7:7	Therefore I will look unto the LORD; I will wait for the God of my salvation: my God will hear me.
Micah 7:8	Rejoice not against me, O mine enemy: when I fall, I shall arise; when I sit in darkness, the LORD shall be a light unto me.
Micah 7:9	I will bear the indignation of the LORD, because I have sinned against him, until he plead my cause, and execute judgment for me: he will bring me forth to the light, and I shall behold his righteousness.
Micah 7:10	Then she that is mine enemy shall see it, and shame shall cover her which said unto me, Where is the LORD thy God? mine eyes shall behold her: now shall she be trodden down as the mire of the streets.
Micah 7:11	In the day that thy walls are to be built, in that day shall the decree be far removed.
Micah 7:12	In that day also he shall come even to thee from Assyria, and from the fortified cities, and from the fortress even to the river, and from sea to sea, and from mountain to mountain.
Micah 7:13	Notwithstanding the land shall be desolate because of them that dwell therein, for the fruit of their doings.
Micah 7:14	Feed thy people with thy rod, the flock of thine heritage, which dwell solitarily in the wood, in the midst of Carmel: let them feed in Bashan and Gilead, as in the days of old.
Micah 7:15	According to the days of thy coming out of the land of Egypt will I shew unto him marvellous things.
Micah 7:16	The nations shall see and be confounded at all their might: they shall lay their hand upon their mouth, their ears shall be deaf.
Micah 7:17	They shall lick the dust like a serpent, they shall move out of their holes like worms of the earth: they shall be afraid of the LORD our God, and shall fear because of thee.
Micah 7:18	Who is a God like unto thee, that pardoneth iniquity, and passeth by the transgression of the remnant of his heritage? he retaineth not his anger for ever, because he delighteth in mercy.
Micah 7:19	He will turn again, he will have compassion upon us; he will subdue our iniquities; and thou wilt cast all their sins into the depths of the sea.
Micah 7:20	Thou wilt perform the truth to Jacob, and the mercy to Abraham, which thou hast sworn unto our fathers from the days of old.
Nahum 1:1	The burden of Nineveh. The book of the vision of Nahum the Elkoshite.
Nahum 1:2	God is jealous, and the LORD revengeth; the LORD revengeth, and is furious; the LORD will take vengeance on his adversaries, and he reserveth wrath for his enemies.
Nahum 1:3	The LORD is slow to anger, and great in power, and will not at all acquit the wicked: the LORD hath his way in the whirlwind and in the storm, and the clouds are the dust of his feet.
Nahum 1:4	He rebuketh the sea, and maketh it dry, and drieth up all the rivers: Bashan languisheth, and Carmel, and the flower of Lebanon languisheth.
Nahum 1:5	The mountains quake at him, and the hills melt, and the earth is burned at his presence, yea, the world, and all that dwell therein.
Nahum 1:6	Who can stand before his indignation? and who can abide in the fierceness of his anger? his fury is poured out like fire, and the rocks are thrown down by him.
Nahum 1:7	The LORD is good, a strong hold in the day of trouble; and he knoweth them that trust in him.
Nahum 1:8	But with an overrunning flood he will make an utter end of the place thereof, and darkness shall pursue his enemies.
Nahum 1:9	What do ye imagine against the LORD? he will make an utter end: affliction shall not rise up the second time.
Nahum 1:10	For while they be folden together as thorns, and while they are drunken as drunkards, they shall be devoured as stubble fully dry.
Nahum 1:11	There is one come out of thee, that imagineth evil against the LORD, a wicked counsellor.
Nahum 1:12	Thus saith the LORD; Though they be quiet, and likewise many, yet thus shall they be cut down, when he shall pass through. Though I have afflicted thee, I will afflict thee no more.
Nahum 1:13	For now will I break his yoke from off thee, and will burst thy bonds in sunder.
Nahum 1:14	And the LORD hath given a commandment concerning thee, that no more of thy name be sown: out of the house of thy gods will I cut off the graven image and the molten image: I will make thy grave; for thou art vile.
Nahum 1:15	Behold upon the mountains the feet of him that bringeth good tidings, that publisheth peace! O Judah, keep thy solemn feasts, perform thy vows: for the wicked shall no more pass through thee; he is utterly cut off.
Nahum 2:1	He that dasheth in pieces is come up before thy face: keep the munition, watch the way, make thy loins strong, fortify thy power mightily.
